Player,Team,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,xA per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",conference_season,conference_type,Season
S. Maudsley,ULM Warhawks,"DMF , AMF , RCMF",20,4,120,0,0,0,0,18.75,32,United States,United States,165,0,3,4.5,33.33,6,37.5,0,0,0,1.5,3.16,1.5,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,50,4.5,33.33,0,0.75,0.75,26.25,94.29,6.75,88.89,1.5,100,11.25,93.33,0.75,0,20.04,13.87,0,0,0,0,0,0,3,75,0,0,0,0,0,0,3,75,Sun Belt 2022,Non-P5,2022
L. Martinet,Coastal Carolina Chanticleers,"CF , RCMF , LCMF3",,7,114,0,0.36,0,0.05,31.58,40,France,France,162,0,13.42,11.05,71.43,4.74,50,1.58,1.2,0,3.95,3,0.79,0,0,0,0,2.37,0,0,0,0.29,0,0,3,2.37,66.67,0,0,0.04,0.79,0,0.79,100,9.47,16.67,3.16,1.58,1.58,17.37,68.18,3.95,60,3.95,100,5.53,28.57,1.58,50,13.05,4.38,0.79,0,0,0,0,0,1.58,50,0.79,100,0,0,1.58,0,3.16,75,Sun Belt 2022,Non-P5,2022
A. Vivas,ULM Warhawks,GK,22,2,111,0,0,0,0,2.43,100,Venezuela,Venezuela,170,0,0.81,0,0,0.81,100,0,0,0,0.81,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,100,0,0,1.62,12.16,80,4.05,60,0,0,6.49,87.5,2.43,0,30.86,38.9,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,1.62,0,Sun Belt 2022,Non-P5,2022
L. Shah,Arkansas St. Red Wolves,"LWB , LB , RB",21,6,104,0,0,0,0,16.44,57.89,United States,United States,160,0,17.31,11.25,69.23,0.87,0,0,0,0,9.52,8.46,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0.87,0,2.6,66.67,0,0.87,0.87,27.69,46.88,13.85,56.25,6.06,57.14,5.19,16.67,2.6,66.67,13.37,8.76,0,0,0,0,0,0,6.06,57.14,1.73,0,0,0,0,0,9.52,54.55,Sun Belt 2022,Non-P5,2022
M. Deas,Appalachian State Mountaineers,"CF , RAMF",,4,99,0,0.18,0,0,19.09,23.81,United States,United States,0,0,4.55,5.45,33.33,4.55,0,0.91,0.88,0,1.82,1.76,0.91,0,0,0,0,2.73,0,0,0,0.16,0,0,2,1.82,0,0,0,0,1.82,50,6.36,28.57,7.27,25,3.64,1.82,0,21.82,54.17,8.18,55.56,4.55,80,5.45,50,1.82,50,26.13,15.57,0,0,0,0,0,0,3.64,50,0.91,0,0,0,0,0,3.64,50,Sun Belt 2022,Non-P5,2022
M. Jakobsson,Troy Trojans,"LB , RB , LCB3",21,6,87,0,0.03,0,0.03,23.79,39.13,Sweden,Sweden,162,0,15.52,16.55,56.25,0,0,1.03,0.97,0,5.17,4.84,0,0,0,0,0,1.03,0,0,0,0.03,0,0,1,1.03,100,0,0,0.03,0,0,0,0,5.17,0,0,1.03,0,20.69,45,14.48,42.86,2.07,50,2.07,50,5.17,40,22.52,29.95,1.03,0,0,0,0,0,4.14,50,2.07,50,2.07,50,1.03,0,7.24,71.43,Sun Belt 2022,Non-P5,2022
G. Gilmore,Southern Miss Golden Eagles,"RCMF , RAMF , CF",18,6,80,0,0,0,0,22.5,25,United States,United States,157,0,5.63,7.87,57.14,2.25,0,0,0,0,1.13,0.63,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,2.25,0,11.25,10,1.13,0,1.13,19.13,76.47,5.63,60,4.5,100,7.87,85.71,0,0,9.16,0,0,0,0,0,0,0,2.25,50,1.13,0,0,0,0,0,3.38,66.67,Sun Belt 2022,Non-P5,2022
L. Reid,Georgia Southern Eagles,"LW , LB , DMF",20,6,79,0,0,0,0.29,23.92,52.38,United States,United States,177,0,6.84,6.84,50,0,0,0,0,0,3.42,2.9,2.28,0,0,0,0,9.11,0,0,0,0,0,0,0,0,0,0,0,0.33,6.84,66.67,9.11,50,11.39,50,0,2.28,1.14,23.92,71.43,11.39,60,2.28,100,7.97,85.71,2.28,50,22.03,10.28,3.42,0,0,0,0,1.14,5.7,80,9.11,75,1.14,100,0,5.7,11.39,80,Sun Belt 2022,Non-P5,2022
M. Bradley,Louisiana Ragin' Cajuns,CF,18,6,77,1,0.28,0,0,29.22,28,England,England,165,0,2.34,4.68,50,3.51,66.67,0,0,0,0,0,1.17,0,0,0,0,2.34,1.17,1,1.17,0.33,0,0,1,1.17,100,100,0,0,3.51,0,8.18,14.29,17.53,13.33,3.51,1.17,1.17,17.53,53.33,1.17,100,3.51,100,8.18,14.29,0,0,11.88,0,0,0,0,0,0,0,1.17,0,2.34,0,0,0,0,1.17,1.17,0,Sun Belt 2022,Non-P5,2022
R. Rojahn,Troy Trojans,"LCMF , LCMF3 , LDMF",19,5,65,0,0,0,0.06,16.62,25,United States,United States,165,0,9.69,11.08,37.5,1.38,0,0,0,0,5.54,4,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,18,53.85,8.31,33.33,0,0,6.92,60,5.54,50,24.25,26.33,1.38,0,0,0,0,0,4.15,33.33,0,0,0,0,0,0,6.92,60,Sun Belt 2022,Non-P5,2022
K. Turner,Coastal Carolina Chanticleers,CF,,5,60,0,0,0,0.17,25.5,23.53,United States,United States,170,0,6,3,100,3,0,0,0,0,3,2.07,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,1.5,0,15,20,1.5,0,1.5,24,50,7.5,40,6,50,3,50,1.5,0,13.09,7.76,1.5,0,0,0,0,0,3,50,0,0,0,0,1.5,0,4.5,66.67,Sun Belt 2022,Non-P5,2022
N. Chacon,Texas St. Bobcats,"LW , RW",,5,47,0,0.06,0,0,22.98,33.33,United States,United States,160,0,7.66,3.83,50,3.83,0,0,0,0,5.74,10,0,0,0,0,0,1.91,0,0,0,0.11,0,0,1,1.91,100,0,0,0,3.83,0,5.74,0,11.49,16.67,1.91,0,0,24.89,23.08,13.4,14.29,3.83,0,5.74,33.33,1.91,0,13.83,2.93,0,0,0,1.91,0,0,1.91,0,5.74,0,1.91,0,0,1.91,9.57,20,Sun Belt 2022,Non-P5,2022
J. Badely,Arkansas St. Red Wolves,"LW , RAMF , LWF",19,4,45,0,0,0,0,26,46.15,United States,United States,165,0,2,6,33.33,4,100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,50,6,0,14,28.57,0,0,2,16,25,6,33.33,2,0,4,50,2,0,16.02,12.53,0,0,0,0,0,0,2,0,2,0,2,0,0,2,2,100,Sun Belt 2022,Non-P5,2022
A. Miller,Texas St. Bobcats,"CF , LCB",,4,40,0,0,0,0,,,United States,United States,167,0,,,,,,,0,,,1.36,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,19.02,9.28,,,,,,,,,,,,,,,,,Sun Belt 2022,Non-P5,2022
J. Salters,Appalachian State Mountaineers,GK,,1,39,0,0,0,0,,,United States,United States,170,0,,,,,,,0,,,6,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,40.82,40.82,,,,,,,,,,,,,,,,,Sun Belt 2022,Non-P5,2022
